coord1 coord2 dim1 dim2
0 0 1 2
0.00720686659989955 0.607386396490216 1 2
0.237320497174162 0.227900750557201 1 2
0 0 1 3
0.507804940129874 0.550732721210096 1 3
0.628917377274222 0.167209993937369 1 3
0 0 1 4
0.305950878222626 0.675747583015113 1 4
0.729844408227846 0.150927008852434 1 4
0.00316978536175459 0 1 5
0.556249914987613 0 1 5
0 0.175014960366573 1 5
0 0 1 6
0.794437708038165 0.00532288437254685 1 6
0 0.671441305425178 1 6
0 0 1 7
0 0.513860596652236 1 7
0.576435321178338 0.00922542918812139 1 7
0 0.00505381132427008 1 8
0 0.404724863955849 1 8
0.552212833749468 0.00505381132427008 1 8
0 0.000882193460418783 1 9
0 0.513591523603959 1 9
0.552212833749468 0 1 9
0 0 1 10
0 0.517494068419534 1 10
0.192912603554567 0.00478473827599332 1 10
0.00316978536175459 0 2 3
0.00316978536175459 0.0571322591681229 2 3
0.253468822126742 0 2 3
0 0.00451541882382619 2 4
0.584509483654628 0 2 4
0 0.157924509732917 2 4
0 0 2 5
0.548175752511323 0 2 5
0 0.0972338763150301 2 5
0.00316978536175459 0.00424634577554943 2 6
0.576435321178338 0.00424634577554943 2 6
0 0.101136297928659 2 6
0 0 2 7
0.253468822126742 0.145409656141363 2 7
0 0.565266115471507 2 7
0 0 2 8
0 0.379425837320574 2 8
0.552212833749468 0.00801435406698558 2 8
0 0.00384273620313428 2 9
0.568361158702048 0.00384273620313428 2 9
0 0.0442135496002635 2 9
0 0.0037081996789959 2 10
0 0.528528773841675 2 10
0.548175752511323 0 2 10
0.00316978536175459 0 3 4
0.43110039660512 0.564727846173008 3 4
0.548175752511323 0.459763731340472 3 4
0 0 3 5
0.536064508796888 0 3 5
0 0.0922547929024582 3 5
0 0 3 6
0.0112439478380445 0.503902429827092 3 6
0.600657808607208 0.483717023128528 3 6
0 0 3 7
0 0.519916218661806 3 7
0.536064508796888 0 3 7
0 0 3 8
0.548175752511323 0.00707235199412654 3 8
0 0.394632160606567 3 8
0 0 3 9
0.540101590035033 0.00290073413027524 3 9
0 0.0351973848479786 3 9
0 0 3 10
0 0.531623853108529 3 10
0.0596889226957839 0.531623853108529 3 10
0 0 4 5
0.556249914987613 0 4 5
0 0.0874103692159698 4 5
0 0 4 6
0.600657808607208 0.0146081221731085 4 6
0 0.591910753752056 4 6
0.540101590035033 0.535391614996075 4 6
0 0.00505381132427008 4 7
0 0.533911466826662 4 7
0.576435321178338 0.0171650553434088 4 7
0 0 4 8
0.568361158702048 0.00895635613984462 4 8
0 0.533776930302524 4 8
0 0 4 9
0 0.533642393778386 4 9
0.560286996225758 0 4 9
0 0 4 10
0 0.517359531895396 4 10
0.148504709934973 0.00868728309156785 4 10
0 0 5 6
0 0.513187667627654 5 6
0.552212833749468 0 5 6
0 0 5 7
0.0677630851720739 0 5 7
0.0435405977432041 0.53323853780208 5 7
0 0.000209264435836506 5 8
0.100059735077233 0 5 8
0.00316978536175459 0.557326489316219 5 8
0 0 5 9
0.0273922727906243 0.52893238341409 5 9
0.0596889226957839 0 5 9
0 0 5 10
0.0193181103143344 0.532834928229665 5 10
0.15 0.4 5 10
0 0 6 7
0 0.524626229026101 6 7
0.527990346320599 0.00384273620313428 6 7
0 0 6 8
0.544138671273178 0.00774528101870882 6 8
0 0.544677099200527 6 8
0 0 6 9
0 0.532431195455305 6 9
0.556249914987613 0.00357353995291233 6 9
0 0 6 10
0.00720686659989955 0.516148333572315 6 10
0.0435405977432041 0 6 10
0 0 7 8
0.536064508796888 0.0678976451380971 7 8
0.00316978536175459 0.52812491786537 7 8
0 0.003169807178552 7 9
0.519916183844309 0 7 9
0 0.0354664578962554 7 9
0 0 7 10
0.342284609365931 0.681264935726184 7 10
0.673325270893817 0.172592686922356 7 10
0.00316978536175459 0 8 9
0.39072958422367 0.00290073413027524 8 9
0.168690116125698 0.551943796331232 8 9
0 0.00276619760613686 8 10
0.39072958422367 0.0835078244003952 8 10
0.0435405977432041 0.543735097127668 8 10
0 0 9 10
0.0314293540287693 0 9 10
0 0.515346165707237 9 10
