"Rc/Ra" "d37Cl" "d81Br"
6.08 -0.36 0.05
5.6 0.06 0.2
6.17 0.19 0.34
NA 0.21 0.07
5.57 0.01 0.15
5.2 0.28 0.33
6.51 0.18 0.19
5.77 0.07 0.13
6.54 0.21 0.1
5.73 0.26 0.51
6 0.36 -0.11
3.91 -0.08 -0.23
6.32 0.22 0.32
6.39 0.51 0.22
6 -0.02 0.1
6.5 0.27 0.34
6.35 0.66 0.07
6.83 0.63 0.37
5.69 0.18 0.15
6.43 0.09 0.26
5.41 0.24 -0.16
NA 0.2 0.25
7.32 0.74 0.24
6.65 0.03 0.57
6.38 -0.12 0.27
3.34 0.02 -0.09
3.31 0.24 0.37
3.34 -0.02 0.23
4.92 -0.06 0.04
NA 0.36 0.07
6.58 0.22 -0.12
5.13 0.08 0.37
6.06 -0.16 -0.58
4.03 0.33 0.1
3.57 0.23 0.03
4.95 0.19 0.24
3.3 0.32 0.14
4.65 -0.01 0.24
6.63 0.05 0.42
6.43 0.16 0.01
6.33 0.15 0.18
6.2 0.41 0.2
5.86 0.03 -0.06
6.59 0.06 0.28
3.76 0.27 0.12
5.93 0.18 0
6.22 0.06 0.31
NA 0.18 0.9
5.26 0.49 -0.02
6.28 0.07 0.45
7.93 0.25 0.21
6.61 0.54 0.28
5.98 0.53 0.38
6.59 0.24 0.46
6.54 0.08 NA
5.93 0.15 0.39
6.48 0.46 0.5
4.47 0.14 0.37
6.98 0.2 0.65
7.24 0.54 0.59
7.47 0.59 0.44
6.54 0.53 0.58
7.37 0.49 NA
7.19 0.66 0.53
5.73 0.52 0.52
NA 0.81 0.35
7.55 0.78 -0.41
7.18 0.66 0.53
6.71 NA NA
6.59 0.73 0.3
5.84 -0.1 0.21
6.09 NA NA
6.03 0.09 -0.13
6.03 NA NA
4.77 -0.24 0.05
5.32 NA NA
6 0.14 0.16
6.28 NA NA
