"Li" "Na" "Mg" "K" "Ca" 
0.685557 0.026631 0.001574 0.001506 0.052017 
0.000724 0.699736 0.020847 0.000260 0.000835 
0.000119 0.003809 0.003355 0.017723 0.762002 
0.000007 0.002501 0.021577 0.637369 0.052684 
0.000154 0.055528 0.753881 0.010066 0.000753 
0.000230 0.003818 0.009939 0.006854 0.762723 
0.000028 0.000237 0.747570 0.023180 0.021095 
0.001095 0.722006 0.000776 0.008386 0.000101 
0.000007 0.071509 0.026113 0.637971 0.003273 
0.642214 0.039590 0.018421 0.000466 0.001044 
0.000150 0.002812 0.010801 0.018939 0.696541 
0.667420 0.003573 0.045804 0.009921 0.005794 
0.000607 0.009159 0.747588 0.000814 0.061883 
0.000033 0.633816 0.000451 0.002130 0.000025 
0.000011 0.013791 0.012319 0.603008 0.029598 
0.000011 0.007867 0.000531 0.615908 0.087418 
0.670695 0.093320 0.007846 0.002190 0.034497 
0.000367 0.000202 0.008064 0.003198 0.722503 
0.000688 0.647834 0.003503 0.000895 0.000025 
0.000860 0.013790 0.734368 0.004381 0.007780 
0.691051 0.106444 0.013481 0.006982 0.044457 
0.001543 0.009202 0.728516 0.003377 0.075786 
0.000576 0.646745 0.006910 0.001382 0.000114 
0.000011 0.000720 0.002136 0.643465 0.004354 
0.000147 0.000005 0.009458 0.002311 0.734324 
0.000011 0.014089 0.018405 0.607656 0.002000 
0.000147 0.001990 0.003120 0.005962 0.786474 
0.000617 0.675419 0.003187 0.001857 0.001928 
0.000880 0.005306 0.719173 0.008787 0.006278 
0.680216 0.097771 0.007238 0.019280 0.045155 
0.000617 0.644934 0.004649 0.001404 0.000019 
0.666734 0.083834 0.002258 0.022860 0.005279 
0.001898 0.000620 0.738416 0.014557 0.021954 
0.000147 0.002692 0.006063 0.002863 0.729761 
0.000011 0.016408 0.011142 0.612881 0.092019 
0.000945 0.009368 0.755576 0.000274 0.005101 
0.000023 0.598732 0.001113 0.003395 0.000049 
0.000052 0.002310 0.008571 0.015320 0.795817 
0.704726 0.046499 0.001997 0.007618 0.028185 
0.000011 0.018035 0.008790 0.636335 0.055619 
0.000544 0.003000 0.004211 0.000366 0.758093 
0.000483 0.001049 0.731472 0.008871 0.002829 
0.000146 0.743620 0.000405 0.003659 0.000021 
0.000011 0.016490 0.020018 0.630608 0.059040 
0.698972 0.052899 0.010866 0.002158 0.046536 
0.670905 0.002404 0.001160 0.011010 0.001747 
0.000544 0.000850 0.002881 0.000581 0.789875 
0.001518 0.010310 0.732659 0.012878 0.026767 
0.000146 0.710361 0.002438 0.000640 0.000021 
0.000011 0.004061 0.015908 0.633314 0.015190 
0.000035 0.003904 0.024167 0.641994 0.066405 
0.002413 0.002482 0.763407 0.022989 0.001561 
0.000274 0.010482 0.013828 0.013699 0.788161 
