"Rc/Ra" "d37Cl" "d81Br" 
0.704204 0.769057 0.632761 
0.654827 0.280502 0.137510 
0.160660 0.477911 0.579634 
0.638913 0.239788 0.201199 
0.132039 0.540530 0.514569 
0.695103 0.681957 0.644706 
0.752160 0.730996 0.713335 
0.183737 0.523072 0.612280 
0.578246 0.232910 0.167791 
0.209997 0.521408 0.563366 
0.582454 0.226853 0.176733 
0.769597 0.712654 0.708177 
0.762495 0.729810 0.666746 
0.143579 0.473566 0.518632 
0.600332 0.197685 0.138477 
0.635393 0.734385 0.248531 
0.638736 0.245752 0.186412 
0.126295 0.407853 0.536638 
0.715619 0.699999 0.671552 
0.751742 0.724195 0.690397 
0.607482 0.271242 0.136387 
0.127025 0.468445 0.494793 
0.654290 0.246652 0.268139 
0.126415 0.456544 0.539641 
0.684621 0.694039 0.708491 
0.680406 0.748807 0.701549 
0.651135 0.230963 0.133156 
0.157636 0.522986 0.495921 
0.771259 0.714191 0.662850 
0.146894 0.514131 0.508427 
0.560179 0.291432 0.167205 
0.614407 0.235498 0.216596 
0.747561 0.749286 0.658290 
0.145084 0.550408 0.575051 
0.141883 0.441972 0.459489 
0.723884 0.732333 0.735485 
0.652756 0.253237 0.262897 
0.201463 0.485063 0.552624 
0.752013 0.750128 0.709327 
0.610261 0.211271 0.206610 
0.164220 0.524868 0.524999 
0.740461 0.716467 0.727114 
0.657353 0.240504 0.150939 
0.671806 0.745192 0.674847 
0.151181 0.474037 0.498680 
0.674474 0.278265 0.200593 
0.760032 0.752000 0.701324 
0.187399 0.542943 0.495620 
0.570593 0.226606 0.136082 
0.690778 0.736939 0.732972 
0.126964 0.409868 0.529006 
0.666525 0.260538 0.226239 
0.733767 0.744736 0.697169 
0.634508 0.251631 0.170518 
0.163240 0.506338 0.551743 
0.161586 0.495898 0.579908 
0.639775 0.239004 0.124730 
0.751154 0.757143 0.626228 
0.746485 0.705523 0.704803 
0.120709 0.504265 0.529470 
0.628983 0.256909 0.153988 
0.228117 0.467854 0.520009 
0.595653 0.243049 0.130676 
0.738100 0.764092 0.715936 
0.169258 0.474386 0.503161 
0.730409 0.753503 0.703046 
0.620769 0.255784 0.166420 
0.727618 0.697209 0.727858 
0.130870 0.502486 0.534760 
0.603615 0.202799 0.196903 
0.709691 0.695206 0.661859 
0.132695 0.537102 0.541586 
0.636445 0.240422 0.150407 
0.711130 0.774002 0.732353 
0.146859 0.416895 0.511485 
0.630775 0.214978 0.251342 
0.719288 0.690846 0.659436 
0.121544 0.535694 0.521329 
0.639046 0.260955 0.226228 
0.745204 0.745641 0.658742 
0.175320 0.489217 0.543296 
0.596346 0.197951 0.207178 
0.583388 0.220005 0.177345 
0.757893 0.731826 0.643965 
0.190939 0.471251 0.564646 
0.705719 0.778061 0.655545 
0.659244 0.292418 0.154428 
0.134364 0.400957 0.552465 
0.729355 0.733586 0.663439 
0.594080 0.220424 0.195228 
0.148322 0.483481 0.498593 
0.740152 0.713106 0.668479 
0.602468 0.215260 0.150061 
0.129351 0.555715 0.542708 
0.156952 0.483018 0.503707 
0.738102 0.739590 0.720820 
0.633701 0.245805 0.138965 
0.570268 0.298826 0.195253 
0.134539 0.513973 0.537759 
0.760771 0.706364 0.638964 
0.742887 0.763062 0.713758 
0.650943 0.242413 0.233014 
0.168616 0.437993 0.493469 
0.708841 0.712457 0.725358 
0.152233 0.490919 0.511827 
0.638479 0.247516 0.132292 
0.128335 0.406337 0.557122 
0.693835 0.786115 0.685172 
0.665473 0.250969 0.166109 
0.635473 0.222385 0.180657 
0.127317 0.415084 0.541634 
0.698481 0.780751 0.657356 
0.717286 0.777698 0.708347 
0.648648 0.267001 0.130570 
0.127473 0.416939 0.508306 
0.135053 0.530533 0.528939 
0.558463 0.754838 0.202198 
0.764096 0.670635 0.690833 
0.596467 0.217130 0.170260 
0.588859 0.206518 0.178032 
0.730282 0.705770 0.700982 
0.156401 0.554672 0.511109 
0.613099 0.268832 0.123338 
0.721835 0.719857 0.703344 
0.172577 0.504547 0.492363 
0.745501 0.741137 0.720330 
0.598487 0.279864 0.177846 
0.206167 0.476447 0.498093 
0.160374 0.539743 0.511059 
0.748432 0.725449 0.701333 
0.589080 0.198166 0.156282 
0.724834 0.736158 0.675343 
0.595388 0.207058 0.210932 
0.224955 0.495332 0.530656 
0.602398 0.254050 0.214986 
0.757446 0.730884 0.676254 
0.148606 0.453730 0.573798 
0.702430 0.748462 0.634304 
0.156344 0.499221 0.569498 
0.631571 0.247895 0.155035 
0.735724 0.749258 0.714364 
0.644171 0.221792 0.255877 
0.157198 0.475946 0.533551 
0.688347 0.787129 0.688565 
0.668389 0.255466 0.263337 
0.142708 0.407524 0.517701 
0.700542 0.802402 0.666205 
0.676379 0.291438 0.212729 
0.126876 0.448124 0.535516 
0.757287 0.721220 0.660580 
0.628124 0.254522 0.228890 
0.126097 0.492929 0.523266 
0.763560 0.648423 0.564755 
0.556467 0.227408 0.233358 
0.602788 0.788605 0.667323 
0.130841 0.481435 0.493246 
0.153644 0.468692 0.567606 
0.695522 0.719166 0.173958 
0.667020 0.256186 0.634864 
0.130017 0.469411 0.494596 
0.603855 0.292171 0.261959 
0.625390 0.769774 0.230758 
0.720092 0.652022 0.705768 
0.647150 0.267883 0.273177 
0.714790 0.774519 0.663952 
0.180693 0.466829 0.501029 
0.670370 0.272136 0.719798 
0.680007 0.726420 0.159395 
0.188928 0.450844 0.539906 
0.636057 0.236896 0.706435 
0.159354 0.486180 0.491909 
0.717238 0.778611 0.241253 
0.613611 0.288490 0.204263 
0.139653 0.448321 0.562912 
0.755814 0.735244 0.669613 
0.699888 0.761830 0.713867 
0.172069 0.476497 0.587914 
0.654891 0.246483 0.137698 
0.700562 0.749599 0.651451 
0.633430 0.256121 0.151146 
0.169325 0.438505 0.577864 
0.567425 0.254276 0.172349 
0.762243 0.744307 0.676712 
0.153590 0.439718 0.523710 
0.693239 0.786290 0.633084 
0.125923 0.480516 0.548108 
0.657763 0.244404 0.212432 
0.154977 0.522473 0.560487 
0.748595 0.766929 0.671344 
0.612662 0.255048 0.200252 
0.716831 0.728839 0.705333 
0.602314 0.211899 0.153276 
0.202870 0.472026 0.558767 
0.159666 0.445421 0.531502 
0.728387 0.776680 0.635768 
0.653382 0.282778 0.238828 
0.667379 0.754075 0.287407 
0.765346 0.717537 0.645001 
