"solute1" "solute2" "solute3" 
0.670360 0.682314 0.818717 
0.638190 0.648402 0.246539 
0.753969 0.333245 0.244543 
0.270099 0.303472 0.325612 
0.170017 0.318627 0.300163 
0.697810 0.726932 0.822787 
0.791247 0.302444 0.324933 
0.686167 0.747343 0.304350 
0.655052 0.284436 0.255901 
0.710521 0.643596 0.867486 
0.648242 0.726359 0.213178 
0.198852 0.363475 0.325024 
0.259527 0.323499 0.243205 
0.763598 0.749857 0.314478 
0.723713 0.315474 0.401606 
0.637134 0.740960 0.857383 
0.188363 0.256125 0.370973 
0.712140 0.709871 0.836160 
0.729721 0.232958 0.248962 
0.771357 0.624515 0.309286 
0.290725 0.325807 0.304190 
0.758002 0.231040 0.246681 
0.652813 0.675649 0.358814 
0.749249 0.741529 0.857905 
0.649610 0.677760 0.845582 
0.235800 0.321367 0.350638 
0.769945 0.662279 0.285911 
0.633398 0.292396 0.239287 
0.241186 0.293475 0.316063 
0.665249 0.677890 0.746982 
0.709997 0.277611 0.405806 
0.720737 0.637036 0.328200 
0.621896 0.616525 0.236712 
0.202116 0.252997 0.320577 
0.746632 0.222433 0.376086 
0.674163 0.730952 0.770889 
0.210738 0.296878 0.311579 
0.727066 0.719482 0.784577 
0.642978 0.658889 0.220870 
0.636263 0.244582 0.421307 
0.696567 0.263539 0.398385 
0.236779 0.323078 0.318087 
0.696604 0.760386 0.825225 
0.761927 0.680887 0.329150 
0.766684 0.658850 0.790595 
0.753982 0.319899 0.278452 
0.590153 0.783478 0.252135 
0.208665 0.276513 0.288946 
0.701722 0.674411 0.756277 
0.637704 0.687016 0.292524 
0.652213 0.278284 0.221958 
0.221047 0.296400 0.348000 
0.233521 0.268988 0.232495 
0.689643 0.677938 0.790919 
0.680465 0.195670 0.275391 
0.728837 0.743529 0.296725 
0.717039 0.665311 0.698843 
0.163720 0.262236 0.379711 
0.648202 0.323039 0.240091 
0.762316 0.762450 0.300270 
0.654618 0.699598 0.272743 
0.730474 0.691051 0.868306 
0.288609 0.317963 0.336554 
0.708407 0.261913 0.265526 
0.672184 0.682112 0.880258 
0.676119 0.305287 0.234919 
0.228044 0.246193 0.306142 
0.708971 0.681215 0.326037 
0.724037 0.739367 0.819236 
0.650046 0.625654 0.254979 
0.246567 0.298387 0.298845 
0.701572 0.248697 0.331985 
0.752997 0.672729 0.840162 
0.769976 0.334217 0.279416 
0.216078 0.276726 0.267148 
0.588715 0.688719 0.285349 
0.631991 0.711178 0.881532 
0.799065 0.646234 0.355759 
0.693831 0.274394 0.233608 
0.240162 0.256295 0.312892 
0.205286 0.324947 0.299611 
0.668195 0.198988 0.392984 
0.716874 0.774781 0.760763 
0.636346 0.599562 0.301602 
0.700322 0.296202 0.227432 
0.215318 0.223214 0.390105 
0.676653 0.735576 0.738106 
0.638278 0.613958 0.347782 
0.702655 0.625012 0.848987 
0.689286 0.765485 0.303315 
0.680040 0.218266 0.243993 
0.268026 0.311983 0.339915 
0.210476 0.268903 0.317040 
0.692027 0.741196 0.849213 
0.687331 0.302979 0.417698 
0.665745 0.668840 0.252821 
0.239125 0.271927 0.310602 
0.760675 0.721506 0.832653 
0.748954 0.273036 0.262581 
0.634635 0.770659 0.241962 
0.727597 0.708555 0.754641 
0.734657 0.198426 0.386809 
0.707607 0.664044 0.340654 
0.186246 0.370017 0.246630 
0.680792 0.260392 0.405294 
0.234150 0.292543 0.252604 
0.608109 0.665742 0.283195 
0.723970 0.745591 0.835639 
0.682480 0.749169 0.830094 
0.783693 0.331431 0.361670 
0.676822 0.625401 0.326740 
0.237890 0.276528 0.305270 
0.664683 0.690089 0.857216 
0.736821 0.251353 0.321813 
0.637253 0.646488 0.274216 
0.263392 0.316638 0.342134 
0.674017 0.725422 0.757429 
0.168943 0.262399 0.309457 
0.682024 0.287140 0.441507 
0.742870 0.758143 0.282216 
0.690890 0.714456 0.315028 
0.639137 0.724465 0.849786 
0.750452 0.255757 0.315385 
0.186629 0.252967 0.251394 
0.679153 0.669265 0.250692 
0.734863 0.283145 0.305010 
0.167844 0.288349 0.305532 
0.663080 0.673038 0.756327 
0.705843 0.747047 0.862320 
0.548091 0.658959 0.338891 
0.736719 0.337287 0.283909 
0.286513 0.304312 0.332671 
0.711560 0.665330 0.277876 
0.685479 0.306810 0.207894 
0.689129 0.694184 0.770505 
0.217114 0.286343 0.321329 
0.648158 0.739047 0.837107 
0.679250 0.736835 0.333316 
0.190944 0.300647 0.310989 
0.726639 0.269338 0.256132 
0.732627 0.707994 0.313390 
0.641974 0.689094 0.820337 
0.189900 0.283337 0.278291 
0.688205 0.203218 0.353507 
0.637025 0.258724 0.279661 
0.220438 0.273144 0.368068 
0.679977 0.770952 0.849879 
0.775656 0.629918 0.264315 
0.671287 0.682350 0.309351 
0.245281 0.265995 0.274189 
0.661022 0.757257 0.861403 
0.794240 0.279302 0.318926 
0.203314 0.303829 0.335943 
0.729059 0.246554 0.251351 
0.760952 0.659877 0.792546 
0.602688 0.748906 0.344756 
0.762314 0.296539 0.383159 
0.258653 0.294892 0.304050 
0.660120 0.669133 0.249795 
0.697670 0.764411 0.797375 
0.735765 0.598393 0.242268 
0.674228 0.720834 0.823572 
0.165121 0.320659 0.303195 
0.735171 0.276208 0.404521 
0.231275 0.352733 0.318647 
0.763765 0.259937 0.351678 
0.647715 0.657015 0.843853 
0.699458 0.746544 0.247049 
0.668670 0.641895 0.851179 
0.693979 0.220248 0.327359 
0.238113 0.354383 0.237056 
0.699597 0.707528 0.404959 
0.676804 0.219777 0.341025 
0.166632 0.267724 0.322309 
0.621566 0.720032 0.234999 
0.701681 0.719395 0.842001 
0.177167 0.373319 0.272534 
0.665096 0.680479 0.705351 
0.723212 0.232105 0.392287 
0.769575 0.642740 0.248536 
0.758828 0.223341 0.285634 
0.727711 0.758614 0.338283 
0.721540 0.714311 0.812070 
0.207743 0.279765 0.242353 
0.719100 0.249103 0.338372 
0.667425 0.724876 0.234360 
0.670928 0.678605 0.728850 
0.178858 0.303053 0.360414 
0.643494 0.215088 0.276613 
0.734913 0.680395 0.282618 
0.229991 0.296766 0.337044 
0.686869 0.701513 0.798190 
0.210693 0.225589 0.327172 
0.653538 0.651247 0.245144 
0.728641 0.741140 0.774905 
0.756667 0.322841 0.337648 
0.695828 0.630356 0.875019 
0.759560 0.268632 0.281609 
0.724876 0.736711 0.334321 
0.241073 0.306449 0.218214 
0.191215 0.322588 0.389544 
0.713925 0.713908 0.808119 
0.643560 0.718111 0.256790 
0.702028 0.226299 0.231808 
0.784560 0.715843 0.784918 
0.179388 0.265502 0.338237 
0.657848 0.791578 0.279018 
0.623171 0.267066 0.295626 
0.780214 0.667479 0.276114 
0.247254 0.322911 0.351588 
0.798597 0.325016 0.332187 
0.618786 0.702092 0.818346 
0.674965 0.680477 0.731738 
0.251143 0.281052 0.342240 
0.667375 0.633530 0.288930 
0.728906 0.287341 0.281736 
0.738195 0.231781 0.402905 
0.213701 0.230776 0.227373 
0.665877 0.687021 0.835684 
0.631208 0.623917 0.256766 
0.196550 0.250144 0.378198 
0.673118 0.317384 0.243271 
0.736825 0.646265 0.349044 
0.707464 0.736654 0.847195 
0.219213 0.317833 0.354192 
0.736710 0.674186 0.768350 
0.650363 0.279474 0.209425 
0.597612 0.712630 0.359981 
0.655538 0.690085 0.335081 
0.267847 0.298064 0.336076 
0.747846 0.210548 0.319701 
0.756003 0.680559 0.764924 
0.658055 0.738759 0.282982 
0.733598 0.262244 0.313350 
0.261482 0.346926 0.280164 
0.706227 0.781373 0.838041 
0.735265 0.780235 0.301626 
0.707761 0.751673 0.844154 
0.687968 0.267481 0.351870 
0.167062 0.294852 0.337243 
0.724588 0.235302 0.440726 
0.218299 0.299023 0.287245 
0.703913 0.801305 0.769876 
0.748887 0.697846 0.271033 
0.642385 0.755661 0.856160 
0.764558 0.316824 0.331768 
0.637336 0.609830 0.266134 
0.228988 0.292157 0.377617 
0.625080 0.761984 0.821374 
0.737830 0.286398 0.439292 
0.752665 0.590135 0.228561 
0.239086 0.223928 0.241207 
0.601429 0.732505 0.253193 
0.760737 0.290203 0.390038 
0.672012 0.697975 0.758007 
0.248839 0.238407 0.347841 
0.238531 0.346235 0.303202 
0.711370 0.765994 0.782264 
0.756943 0.238288 0.367014 
0.676057 0.584845 0.303267 
0.613726 0.664536 0.261019 
0.229349 0.235728 0.362007 
0.677707 0.667383 0.749075 
0.702318 0.268656 0.247612 
0.760850 0.772620 0.829721 
0.679539 0.194332 0.327969 
0.659017 0.728657 0.215273 
0.204571 0.305513 0.322896 
0.718356 0.209576 0.393632 
0.695478 0.752497 0.792361 
0.184697 0.234424 0.345396 
0.589629 0.614572 0.261052 
0.670534 0.280657 0.271041 
0.736438 0.754881 0.863149 
0.172076 0.248753 0.319582 
0.698928 0.798762 0.372717 
0.186183 0.240349 0.299227 
0.710934 0.303481 0.225486 
0.731956 0.782231 0.380077 
0.663247 0.698146 0.780535 
0.710738 0.723431 0.781195 
0.204855 0.233497 0.369268 
0.704619 0.721029 0.244899 
0.659096 0.336977 0.229089 
0.698496 0.797914 0.788931 
0.675291 0.201164 0.374289 
0.664849 0.730751 0.312595 
0.250498 0.371105 0.282382 
0.735632 0.198915 0.340714 
0.685403 0.712036 0.813632 
0.244582 0.276120 0.259718 
0.700178 0.702352 0.311947 
0.215387 0.337154 0.373016 
0.636486 0.750495 0.389008 
0.689453 0.730657 0.843509 
0.757759 0.287600 0.230506 
0.176726 0.300068 0.304845 
0.721993 0.732368 0.866953 
0.714389 0.705885 0.263570 
0.674282 0.243241 0.425897 
0.725069 0.355836 0.282269 
0.723940 0.701567 0.299613 
0.648761 0.724100 0.841197 
0.332356 0.244891 0.278880 
0.234139 0.401257 0.341196 
0.710766 0.796891 0.326475 
0.213511 0.208668 0.316581 
0.801783 0.308395 0.349762 
0.722018 0.645723 0.753955 
0.713623 0.672299 0.303997 
0.199328 0.283178 0.336625 
0.668652 0.764972 0.757286 
0.728968 0.252520 0.434758 
0.708930 0.658294 0.747907 
0.638594 0.208485 0.301315 
0.273823 0.318552 0.332297 
0.696687 0.738199 0.312943 
0.181046 0.259197 0.359232 
0.661348 0.793469 0.330514 
0.778140 0.662890 0.781054 
0.649287 0.309447 0.202987 
0.764476 0.232031 0.301870 
0.737094 0.756462 0.257504 
0.672734 0.699001 0.862466 
0.224290 0.264879 0.274292 
0.697124 0.689812 0.791472 
0.691916 0.217412 0.243001 
0.726610 0.699612 0.257018 
0.220144 0.348234 0.221836 
0.718892 0.246412 0.338407 
0.763926 0.735927 0.771530 
0.248297 0.353820 0.326605 
0.642362 0.709185 0.283935 
0.674758 0.221094 0.278112 
0.287797 0.309356 0.330446 
0.664908 0.695372 0.329667 
0.684295 0.688349 0.760954 
0.733863 0.757942 0.288688 
0.677808 0.695455 0.827114 
0.259470 0.312359 0.289488 
0.740027 0.292470 0.286954 
0.648787 0.207167 0.250392 
0.687593 0.758681 0.349382 
0.714541 0.639858 0.794871 
0.173825 0.335476 0.359841 
0.657029 0.735342 0.862589 
0.283412 0.287494 0.337742 
0.733460 0.325464 0.257699 
0.580508 0.763233 0.280184 
