"solute1" "solute2" "solute3" 
0.703872 0.265198 0.273597 
0.274716 0.763424 0.320254 
0.703114 0.593344 0.829717 
0.189147 0.265630 0.394790 
0.353666 0.331693 0.435973 
0.376635 0.640753 0.284080 
0.775316 0.676241 0.797658 
0.790788 0.305888 0.324838 
0.758809 0.385044 0.693850 
0.709269 0.633579 0.301652 
0.175544 0.279271 0.320845 
0.642934 0.692029 0.737159 
0.231008 0.285449 0.263532 
0.791031 0.369222 0.326086 
0.609212 0.617110 0.809206 
0.710015 0.667852 0.211018 
0.672621 0.648738 0.703663 
0.283623 0.236186 0.351076 
0.348124 0.633574 0.297562 
0.657390 0.341277 0.340112 
0.671586 0.713392 0.809044 
0.591249 0.619263 0.325479 
0.664967 0.296656 0.331140 
0.248911 0.295045 0.245906 
0.723487 0.715480 0.848657 
0.182217 0.266324 0.254054 
0.649179 0.292715 0.350961 
0.674050 0.768087 0.337430 
0.248329 0.274702 0.249404 
0.630904 0.741533 0.266998 
0.661854 0.312534 0.355193 
0.719903 0.602102 0.806785 
0.648871 0.191457 0.825836 
0.686393 0.760066 0.338976 
0.666185 0.584352 0.838109 
0.224201 0.305476 0.261919 
0.714037 0.341311 0.421122 
0.252163 0.280133 0.212582 
0.669733 0.762774 0.342824 
0.647423 0.781508 0.854440 
0.670659 0.795233 0.318252 
0.667501 0.725629 0.757087 
0.287819 0.365052 0.321871 
0.676398 0.288318 0.692176 
0.768741 0.370108 0.338369 
0.213832 0.223225 0.335366 
0.654598 0.705779 0.745140 
0.704065 0.626345 0.279253 
0.611220 0.795933 0.237743 
0.714894 0.662814 0.777114 
0.692460 0.289185 0.214173 
0.297316 0.303183 0.390372 
0.744710 0.267765 0.406738 
0.243661 0.290324 0.233105 
0.668427 0.678553 0.260614 
0.754114 0.688029 0.818929 
0.285128 0.316702 0.304157 
0.728473 0.781983 0.819578 
0.603740 0.768241 0.228402 
0.653455 0.237640 0.299821 
0.195907 0.363382 0.302451 
0.690340 0.260738 0.420836 
0.657085 0.682469 0.688619 
0.702614 0.661512 0.246429 
0.185566 0.318495 0.369805 
0.717273 0.748600 0.862597 
0.699291 0.309956 0.300584 
0.221698 0.684733 0.332856 
0.564322 0.660672 0.852403 
0.397382 0.252272 0.271196 
0.732430 0.292263 0.373342 
0.736082 0.757472 0.264596 
0.170723 0.267763 0.343014 
0.783474 0.727448 0.789771 
0.288461 0.669201 0.341521 
0.723256 0.202917 0.275315 
0.281276 0.287319 0.401613 
0.258779 0.330810 0.381906 
0.641503 0.666238 0.737920 
0.743243 0.633929 0.240878 
0.670274 0.261519 0.320625 
0.198515 0.262536 0.275530 
0.711779 0.736112 0.646631 
0.778489 0.664187 0.297998 
0.763463 0.250259 0.849743 
0.596084 0.732611 0.789646 
0.722206 0.214255 0.277988 
0.237279 0.383060 0.281258 
0.754414 0.584631 0.315298 
0.766972 0.714243 0.818585 
0.613089 0.744145 0.250268 
0.223130 0.406661 0.334435 
0.655761 0.264446 0.312903 
0.667943 0.671615 0.808419 
0.165881 0.274451 0.348171 
0.582913 0.609703 0.257014 
0.770088 0.299746 0.307697 
0.713712 0.773396 0.243665 
0.241053 0.279803 0.333194 
0.648148 0.262185 0.826993 
0.639383 0.639251 0.753973 
0.301771 0.314474 0.331766 
0.586568 0.713993 0.251522 
0.737598 0.222491 0.353168 
0.753127 0.750643 0.808208 
0.291869 0.383095 0.422051 
0.668232 0.671096 0.836023 
0.671857 0.202160 0.282559 
0.239602 0.761433 0.267198 
0.610748 0.753145 0.304621 
0.248017 0.413737 0.344127 
0.687425 0.230602 0.348522 
0.776101 0.619806 0.804378 
0.780513 0.639122 0.808938 
0.729324 0.225581 0.321637 
0.367260 0.758393 0.412732 
0.328509 0.332955 0.257799 
0.596761 0.579255 0.797322 
0.292474 0.323779 0.338992 
0.719435 0.730310 0.304475 
0.674863 0.388494 0.305898 
0.189722 0.308742 0.323927 
0.742097 0.721502 0.285256 
0.716089 0.189276 0.796248 
0.678812 0.657538 0.676029 
0.663097 0.689143 0.279814 
0.162633 0.261850 0.348692 
0.598387 0.280303 0.327358 
0.762450 0.657711 0.847599 
0.708783 0.296698 0.838937 
0.679752 0.747993 0.323767 
0.761179 0.672915 0.672777 
0.238848 0.322089 0.316442 
0.607183 0.623953 0.746371 
0.764966 0.665598 0.321489 
0.683038 0.257186 0.308605 
0.245665 0.343875 0.273651 
0.183851 0.729917 0.324425 
0.704776 0.278061 0.275941 
0.711258 0.699509 0.868235 
0.297252 0.331371 0.269725 
0.710393 0.250526 0.268632 
0.723970 0.659633 0.794481 
0.746683 0.701203 0.362687 
0.186406 0.385024 0.347850 
0.780607 0.718258 0.771174 
0.711680 0.331329 0.288728 
0.299098 0.207967 0.400818 
0.370181 0.703830 0.357883 
0.723801 0.778699 0.706861 
0.764416 0.668345 0.308434 
0.765457 0.199337 0.810103 
0.216354 0.358007 0.230614 
0.733528 0.283342 0.363315 
0.653790 0.668911 0.795852 
0.730299 0.658793 0.226191 
0.185540 0.264884 0.327611 
0.726202 0.315226 0.209878 
0.695332 0.722274 0.293019 
0.684167 0.596421 0.718705 
0.226824 0.284846 0.298136 
0.231440 0.295823 0.373556 
0.668985 0.302497 0.289496 
0.559157 0.742555 0.262386 
0.681999 0.724053 0.830199 
0.666421 0.631681 0.813366 
0.674482 0.733605 0.235092 
0.709106 0.237254 0.342105 
0.298470 0.262112 0.373626 
0.246423 0.328886 0.259331 
0.618840 0.217808 0.813245 
0.714391 0.768757 0.805411 
0.661893 0.574739 0.255451 
0.590929 0.652413 0.383613 
0.667735 0.377014 0.205891 
0.226714 0.264494 0.335292 
0.720551 0.597344 0.731401 
0.560023 0.658684 0.314750 
0.741292 0.670104 0.801095 
0.727207 0.315130 0.403301 
0.307779 0.300861 0.346911 
0.717420 0.203078 0.396519 
0.648352 0.673862 0.765284 
0.663349 0.724854 0.287122 
0.218713 0.260851 0.310573 
0.652861 0.200773 0.282389 
0.680522 0.648664 0.830418 
0.357757 0.773835 0.418855 
0.225417 0.301436 0.264555 
0.413346 0.742287 0.311242 
0.752565 0.688512 0.775472 
0.214098 0.395114 0.245441 
0.738918 0.236702 0.283522 
0.703336 0.256195 0.342226 
0.696641 0.692039 0.840366 
0.214530 0.637883 0.281518 
0.297717 0.300816 0.420748 
0.393256 0.722946 0.319183 
0.206690 0.232219 0.343347 
0.692780 0.254679 0.218446 
0.708541 0.666954 0.699231 
0.206979 0.318175 0.295245 
0.667622 0.650979 0.304655 
0.724503 0.262909 0.764773 
0.641224 0.700559 0.838035 
0.715448 0.678814 0.794390 
0.191091 0.722747 0.310274 
0.231482 0.272368 0.438041 
0.753021 0.214360 0.290861 
0.687315 0.767660 0.323255 
0.251694 0.294924 0.271296 
0.743592 0.777491 0.797945 
0.760601 0.361632 0.730547 
0.206946 0.236874 0.233989 
0.686737 0.731796 0.272476 
0.769490 0.243167 0.373869 
0.673728 0.672630 0.770805 
0.786450 0.737268 0.284045 
0.572529 0.693955 0.819997 
0.207666 0.387642 0.292557 
0.761193 0.248632 0.293272 
0.660841 0.758295 0.252168 
0.674956 0.196706 0.712777 
0.615783 0.666966 0.806027 
0.256404 0.290346 0.283742 
0.203545 0.358761 0.427449 
0.653383 0.595593 0.843831 
0.646536 0.265527 0.217316 
0.714815 0.753599 0.353853 
0.710455 0.337785 0.215441 
0.282787 0.338435 0.332288 
0.745443 0.729294 0.784087 
0.596240 0.586611 0.373330 
0.729203 0.260816 0.762303 
0.607348 0.586383 0.812860 
0.696312 0.291435 0.327615 
0.696007 0.738289 0.250627 
0.280376 0.351491 0.288090 
0.676262 0.672399 0.775596 
0.217091 0.334645 0.290684 
0.773967 0.240941 0.379099 
0.745156 0.637880 0.307163 
0.638666 0.229466 0.663983 
0.695546 0.778236 0.251242 
0.707890 0.757792 0.842911 
0.293146 0.339364 0.270486 
0.173236 0.576266 0.308043 
0.677456 0.708167 0.814105 
